MarketPriceKey,DateKey,AssetKey,ClosePrice
1,20250501,8,85401.4140625
2,20250501,9,1627.819580078125
3,20250501,10,133.5081329345703
4,20250502,1,8.862000465393066
5,20250502,2,45.029998779296875
6,20250502,3,71.68000030517578
7,20250502,4,18.052000045776367
8,20250502,5,609.0999755859375
9,20250502,6,55.54999923706055
10,20250502,7,1576.0
11,20250502,8,85741.1796875
12,20250502,9,1630.335693359375
13,20250502,10,130.9872589111328
14,20250502,11,95.64800262451172
15,20250502,12,191.77999877929688
16,20250502,13,532.3599853515625
17,20250503,8,84840.265625
18,20250503,9,1622.4896240234375
19,20250503,10,129.8778076171875
20,20250504,8,83307.4140625
21,20250504,9,1597.4951171875
22,20250504,10,127.17735290527344
23,20250505,1,8.88599967956543
24,20250505,2,45.404998779296875
25,20250505,3,71.51000213623047
26,20250505,4,18.219999313354492
27,20250505,5,606.5999755859375
28,20250505,6,56.900001525878906
29,20250505,7,1627.0
30,20250505,8,83756.9921875
31,20250505,9,1608.607177734375
32,20250505,10,129.6793975830078
33,20250505,11,95.78199768066406
34,20250505,12,193.86000061035156
35,20250505,13,531.9400024414062
36,20250506,1,8.83899974822998
37,20250506,2,44.880001068115234
38,20250506,3,70.9000015258789
39,20250506,4,18.006000518798828
40,20250506,5,601.7999877929688
41,20250506,6,58.20000076293945
42,20250506,7,1645.0
43,20250506,8,85362.75
44,20250506,9,1600.587646484375
45,20250506,10,129.42213439941406
46,20250506,11,95.27999877929688
47,20250506,12,193.1999969482422
48,20250506,13,528.4199829101562
49,20250507,1,8.791000366210938
50,20250507,2,45.04499816894531
51,20250507,3,70.41999816894531
52,20250507,4,17.88599967956543
53,20250507,5,604.4000244140625
54,20250507,6,58.01499938964844
55,20250507,7,1633.5
56,20250507,8,85846.2421875
57,20250507,9,1602.760986328125
58,20250507,10,130.24266052246094
59,20250507,11,94.82599639892578
60,20250507,12,192.13999938964844
61,20250507,13,526.1400146484375
62,20250508,1,8.928999900817871
63,20250508,2,46.19499969482422
64,20250508,3,72.31999969482422
65,20250508,4,18.600000381469727
66,20250508,5,630.0999755859375
67,20250508,6,57.6349983215332
68,20250508,7,1701.0
69,20250508,8,91947.875
70,20250508,9,1965.14404296875
71,20250508,10,146.02511596679688
72,20250508,11,96.36599731445312
73,20250508,12,194.0
74,20250508,13,536.8800048828125
75,20250509,1,8.913999557495117
76,20250509,2,45.625
77,20250509,3,72.13999938964844
78,20250509,4,18.549999237060547
79,20250509,5,627.7000122070312
80,20250509,6,57.650001525878906
81,20250509,7,1694.0
82,20250509,8,91525.640625
83,20250509,9,2084.80419921875
84,20250509,10,153.61842346191406
85,20250509,11,96.31800079345703
86,20250509,12,195.02000427246094
87,20250509,13,535.47998046875
88,20250510,8,93059.328125
89,20250510,9,2295.386474609375
90,20250510,10,157.87913513183594
91,20250511,8,92717.7421875
92,20250511,9,2235.633056640625
93,20250511,10,154.09840393066406
94,20250512,1,9.23799991607666
95,20250512,2,45.119998931884766
96,20250512,3,75.55999755859375
97,20250512,4,19.6299991607666
98,20250512,5,667.0999755859375
99,20250512,6,56.619998931884766
100,20250512,7,1594.0
101,20250512,8,92655.1328125
102,20250512,9,2249.756103515625
103,20250512,10,157.03237915039062
104,20250512,11,99.48400115966797
105,20250512,12,195.6199951171875
106,20250512,13,556.52001953125
107,20250513,1,9.277000427246094
108,20250513,2,45.28499984741211
109,20250513,3,76.80999755859375
110,20250513,4,20.1299991607666
111,20250513,5,683.5
112,20250513,6,56.51499938964844
113,20250513,7,1608.5
114,20250513,8,93123.5390625
115,20250513,9,2395.926025390625
116,20250513,10,164.49404907226562
117,20250513,11,100.08999633789062
118,20250513,12,196.24000549316406
119,20250513,13,561.4600219726562
120,20250514,1,9.258000373840332
121,20250514,2,45.349998474121094
122,20250514,3,77.01000213623047
123,20250514,4,20.280000686645508
124,20250514,5,686.2999877929688
125,20250514,6,55.20000076293945
126,20250514,7,1592.0
127,20250514,8,92590.328125
128,20250514,9,2334.05419921875
129,20250514,10,158.02256774902344
130,20250514,11,99.84400177001953
131,20250514,12,195.13999938964844
132,20250514,13,560.47998046875
133,20250515,1,9.288999557495117
134,20250515,2,46.209999084472656
135,20250515,3,77.29000091552734
136,20250515,4,20.114999771118164
137,20250515,5,682.4000244140625
138,20250515,6,55.86000061035156
139,20250515,7,1682.0
140,20250515,8,92694.90625
141,20250515,9,2275.59375
142,20250515,10,151.0089111328125
143,20250515,11,100.22000122070312
144,20250515,12,196.4600067138672
145,20250515,13,562.0
146,20250516,1,9.350000381469727
147,20250516,2,46.84000015258789
148,20250516,3,77.56999969482422
149,20250516,4,20.315000534057617
150,20250516,5,668.4000244140625
151,20250516,6,55.45500183105469
152,20250516,7,1723.0
153,20250516,8,92715.125
154,20250516,9,2272.24609375
155,20250516,10,149.91297912597656
156,20250516,11,100.95500183105469
157,20250516,12,197.1199951171875
158,20250516,13,566.1799926757812
159,20250517,8,92447.9609375
160,20250517,9,2218.006103515625
161,20250517,10,148.65594482421875
162,20250518,8,95134.5234375
163,20250518,9,2232.7587890625
164,20250518,10,155.41937255859375
165,20250519,1,9.293999671936035
166,20250519,2,46.959999084472656
167,20250519,3,76.87000274658203
168,20250519,4,19.98200035095215
169,20250519,5,662.0
170,20250519,6,55.80500030517578
171,20250519,7,1752.5
172,20250519,8,94018.96875
173,20250519,9,2251.6640625
174,20250519,10,148.55572509765625
175,20250519,11,100.375
176,20250519,12,198.44000244140625
177,20250519,13,562.2000122070312
178,20250520,1,9.309000015258789
179,20250520,2,47.18000030517578
180,20250520,3,76.8499984741211
181,20250520,4,20.075000762939453
182,20250520,5,660.0999755859375
183,20250520,6,56.584999084472656
184,20250520,7,1780.0
185,20250520,8,94601.421875
186,20250520,9,2236.051513671875
187,20250520,10,149.2521209716797
188,20250520,11,100.61000061035156
189,20250520,12,199.3000030517578
190,20250520,13,562.5399780273438
191,20250521,1,9.229000091552734
192,20250521,2,47.04499816894531
193,20250521,3,76.58999633789062
194,20250521,4,19.881999969482422
195,20250521,5,664.5
196,20250521,6,56.755001068115234
197,20250521,7,1795.0
198,20250521,8,96784.8671875
199,20250521,9,2252.305908203125
200,20250521,10,153.2645721435547
201,20250521,11,99.79199981689453
202,20250521,12,199.9600067138672
203,20250521,13,556.739990234375
204,20250522,1,9.168000221252441
205,20250522,2,46.91999816894531
206,20250522,3,76.02999877929688
207,20250522,4,19.788000106811523
208,20250522,5,656.7999877929688
209,20250522,6,56.67499923706055
210,20250522,7,1770.0
211,20250522,8,98980.609375
212,20250522,9,2361.3515625
213,20250522,10,159.2674560546875
214,20250522,11,99.06800079345703
215,20250522,12,199.0399932861328
216,20250522,13,552.1599731445312
217,20250523,1,9.064000129699707
218,20250523,2,46.2400016784668
219,20250523,3,74.69999694824219
220,20250523,4,19.483999252319336
221,20250523,5,642.5
222,20250523,6,57.53499984741211
223,20250523,7,1783.5
224,20250523,8,94362.0859375
225,20250523,9,2222.063720703125
226,20250523,10,152.8834686279297
227,20250523,11,97.94999694824219
228,20250523,12,196.0399932861328
229,20250523,13,544.8599853515625
230,20250524,8,94804.8046875
231,20250524,9,2225.761474609375
232,20250524,10,154.83334350585938
233,20250525,8,95857.3671875
234,20250525,9,2243.357666015625
235,20250525,10,154.48728942871094
236,20250526,1,9.144000053405762
237,20250526,2,46.685001373291016
238,20250526,3,75.47000122070312
239,20250526,4,19.70599937438965
240,20250526,5,653.7999877929688
241,20250526,6,56.9900016784668
242,20250526,7,1842.0
243,20250526,8,96092.8046875
244,20250526,9,2251.410888671875
245,20250526,10,153.57577514648438
246,20250526,11,98.89199829101562
247,20250526,12,199.13999938964844
248,20250526,13,549.52001953125
249,20250527,1,9.206000328063965
250,20250527,2,47.415000915527344
251,20250527,3,76.2300033569336
252,20250527,4,19.892000198364258
253,20250527,5,666.5999755859375
254,20250527,6,56.474998474121094
255,20250527,7,1889.0
256,20250527,8,96136.0
257,20250527,9,2348.89404296875
258,20250527,10,155.95541381835938
259,20250527,11,99.6520004272461
260,20250527,12,200.89999389648438
261,20250527,13,554.47998046875
262,20250528,1,9.213000297546387
263,20250528,2,47.525001525878906
264,20250528,3,76.79000091552734
265,20250528,4,19.857999801635742
266,20250528,5,661.0999755859375
267,20250528,6,56.720001220703125
268,20250528,7,1898.0
269,20250528,8,95999.046875
270,20250528,9,2388.537353515625
271,20250528,10,153.33653259277344
272,20250528,11,99.73999786376953
273,20250528,12,199.24000549316406
274,20250528,13,556.739990234375
275,20250529,1,9.180999755859375
276,20250529,2,47.005001068115234
277,20250529,3,76.33999633789062
278,20250529,4,19.663999557495117
279,20250529,5,665.4000244140625
280,20250529,6,56.65999984741211
281,20250529,7,1878.5
282,20250529,8,92856.46875
283,20250529,9,2314.037841796875
284,20250529,10,146.42684936523438
285,20250529,11,99.302001953125
286,20250529,12,198.5
287,20250529,13,553.6599731445312
288,20250530,1,9.168999671936035
289,20250530,2,46.98500061035156
290,20250530,3,76.0
291,20250530,4,19.402000427246094
292,20250530,5,654.5999755859375
293,20250530,6,56.31999969482422
294,20250530,7,1885.0
295,20250530,8,91647.703125
296,20250530,9,2229.487548828125
297,20250530,10,137.68028259277344
298,20250530,11,99.30799865722656
299,20250530,12,199.0
300,20250530,13,553.3200073242188
301,20250531,8,92211.2734375
302,20250531,9,2228.73291015625
303,20250531,10,138.03651428222656
304,20250601,8,93059.53125
305,20250601,9,2233.97119140625
306,20250601,10,138.97836303710938
307,20250602,1,9.121999740600586
308,20250602,2,46.974998474121094
309,20250602,3,75.66999816894531
310,20250602,4,19.351999282836914
311,20250602,5,645.5999755859375
312,20250602,6,57.30500030517578
313,20250602,7,1819.0
314,20250602,8,92445.1640625
315,20250602,9,2276.2568359375
316,20250602,10,137.0749969482422
317,20250602,11,98.87000274658203
318,20250602,12,198.27999877929688
319,20250602,13,549.760009765625
320,20250603,1,9.239999771118164
321,20250603,2,47.755001068115234
322,20250603,3,77.05000305175781
323,20250603,4,19.70400047302246
324,20250603,5,653.5
325,20250603,6,57.21500015258789
326,20250603,7,1835.0
327,20250603,8,92613.1484375
328,20250603,9,2277.968505859375
329,20250603,10,136.45530700683594
330,20250603,11,100.06500244140625
331,20250603,12,199.67999267578125
332,20250603,13,558.4000244140625
333,20250604,1,9.239999771118164
334,20250604,2,47.654998779296875
335,20250604,3,77.05999755859375
336,20250604,4,19.8799991607666
337,20250604,5,654.7999877929688
338,20250604,6,57.35499954223633
339,20250604,7,1833.0
340,20250604,8,91701.4375
341,20250604,9,2284.080810546875
342,20250604,10,134.27896118164062
343,20250604,11,100.08999633789062
