PerformanceKey,DateKey,StrategyKey,Invested,PortfolioValue,ProfitLoss,ReturnPct
1,20250505,1,100.0,100.0,0.0,0.0
2,20250604,1,200.0,205.61957568593917,5.619575685939168,2.809787842969584
3,20250704,1,300.0,305.29239561173955,5.2923956117395505,1.7641318705798503
4,20250804,1,400.0,414.52217478976684,14.522174789766837,3.630543697441709
5,20250904,1,500.0,521.171126382173,21.171126382173043,4.234225276434608
6,20251006,1,600.0,678.1033607085899,78.10336070858989,13.017226784764983
7,20251104,1,700.0,782.9235023979622,82.92350239796224,11.84621462828032
8,20251204,1,800.0,862.7288611688657,62.728861168865706,7.841107646108212
9,20260105,1,900.0,1001.5870466100248,101.5870466100248,11.287449623336089
10,20260204,1,1000.0,1117.456174235358,117.45617423535805,11.745617423535805
11,20260304,1,1100.0,1254.9164384468859,154.91643844688588,14.083312586080535
12,20260407,1,1200.0,1296.3307721286976,96.33077212869762,8.027564344058135
13,20260504,1,1300.0,1454.9278403744352,154.92784037443516,11.917526182648858
92,20260529,1,1300.0,1547.2154210111526,247.21542101115256,19.016570847011735
14,20250505,2,100.0,100.0,0.0,0.0
15,20250604,2,200.0,227.20729975829948,27.207299758299484,13.603649879149742
16,20250704,2,300.0,313.3837170808934,13.383717080893405,4.461239026964468
17,20250804,2,400.0,529.4852272526011,129.48522725260113,32.371306813150284
18,20250904,2,500.0,705.0926163481324,205.09261634813242,41.018523269626485
19,20251006,2,600.0,877.9290764622837,277.92907646228366,46.321512743713946
20,20251104,2,700.0,727.9649190264283,27.964919026428333,3.9949884323469047
21,20251204,2,800.0,769.6092618297981,-30.39073817020187,-3.798842271275234
22,20260105,2,900.0,879.2375697915185,-20.762430208481533,-2.3069366898312813
23,20260204,2,1000.0,689.4839796899228,-310.51602031007724,-31.051602031007725
24,20260304,2,1100.0,793.1458113294455,-306.85418867055455,-27.895835333686776
25,20260406,2,1200.0,865.6337646407461,-334.3662353592539,-27.86385294660449
26,20260504,2,1300.0,1041.3601153472778,-258.63988465272223,-19.895375742517093
93,20260529,2,1300.0,932.1601242799725,-367.8398757200275,-28.295375055386735
27,20250505,3,600.0,600.0,0.0,0.0
28,20250604,3,1200.0,1255.3051781879954,55.30517818799535,4.608764848999613
29,20250704,3,1800.0,1839.845695139591,39.845695139591044,2.21364972997728
30,20250804,3,2400.0,2602.096101201435,202.09610120143498,8.420670883393123
31,20250904,3,3000.0,3310.9482482589974,310.9482482589974,10.364941608633247
32,20251006,3,3600.0,4268.445880005233,668.4458800052334,18.567941111256484
33,20251104,3,4200.0,4642.58243101624,442.58243101623975,10.53767692895809
34,20251204,3,4800.0,5083.253567674126,283.2535676741263,5.901115993210965
35,20260105,3,5400.0,5887.172802841643,487.1728028416428,9.021718571141534
36,20260204,3,6000.0,6276.7648508667135,276.76485086671346,4.612747514445224
37,20260304,3,6600.0,7067.728003563875,467.72800356387506,7.0867879327859855
38,20260407,3,7200.0,7390.263288473002,190.26328847300192,2.6425456732361376
39,20260504,3,7800.0,8315.999317219454,515.9993172194536,6.615375861787867
94,20260529,3,7800.0,8668.237229335737,868.2372293357366,11.131246529945342
40,20250505,4,100.0,99.99999999999999,-1.4210854715202004e-14,-1.4210854715202004e-14
41,20250604,4,200.0,204.49771226487607,4.497712264876071,2.2488561324380356
42,20250704,4,300.0,305.45798979422096,5.457989794220964,1.8193299314069882
43,20250804,4,400.0,412.93040818604527,12.93040818604527,3.2326020465113174
44,20250904,4,500.0,521.8688301083955,21.868830108395514,4.373766021679103
45,20251006,4,600.0,641.6527305102996,41.65273051029965,6.942121751716608
46,20251104,4,700.0,755.1624638241254,55.16246382412544,7.8803519748750634
47,20251204,4,800.0,853.8083671020119,53.80836710201186,6.726045887751482
48,20260105,4,900.0,964.5826285267397,64.58262852673965,7.175847614082184
49,20260204,4,1000.0,1064.197584310109,64.19758431010905,6.419758431010905
50,20260304,4,1100.0,1175.056758036221,75.05675803622103,6.823341639656457
51,20260407,4,1200.0,1232.482237246911,32.48223724691093,2.7068531039092436
52,20260504,4,1300.0,1418.6914426572746,118.69144265727459,9.130110973636507
95,20260529,4,1300.0,1491.438611408045,191.43861140804506,14.726047031388081
53,20250505,5,100.0,100.0,0.0,0.0
54,20250604,5,200.0,203.78623559000374,3.7862355900037414,1.8931177950018707
55,20250704,5,300.0,299.7348193140397,-0.26518068596027433,-0.0883935619867581
56,20250804,5,400.0,399.24844626435527,-0.7515537356447339,-0.18788843391118348
